time,value,module,metric
0.0,0.0,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
0.0,0.0,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
70.0,0.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
71.0,0.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
185.0,0.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
186.0,0.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
299.0,0.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
300.0,0.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
448.0,0.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
449.0,0.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
562.0,1.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
563.0,1.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
679.0,1.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
680.0,1.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
967.0,1.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
968.0,1.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1068.0,1.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1069.0,1.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1168.0,2.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1169.0,2.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1269.0,2.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1270.0,2.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
1371.0,2.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffActive:vector
