time,value,module,metric
70.0,0.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
185.0,0.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
299.0,0.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
448.0,0.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
562.0,1.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
679.0,1.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
967.0,1.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1068.0,1.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1168.0,2.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1269.0,2.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1371.0,2.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1472.0,2.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1572.0,3.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1673.0,3.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1773.0,3.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1876.0,3.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
1976.0,4.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2077.0,4.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2177.0,4.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2278.0,4.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2380.0,5.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2481.0,5.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2581.0,5.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2682.0,5.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2782.0,6.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2885.0,6.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
2985.0,6.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3086.0,6.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3186.0,7.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3287.0,7.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3389.0,7.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3490.0,7.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3590.0,8.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3691.0,8.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3791.0,8.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3894.0,8.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
3994.0,9.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4095.0,9.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4195.0,9.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4296.0,9.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4398.0,10.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4499.0,10.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4599.0,10.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4700.0,10.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4800.0,11.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
4903.0,11.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5003.0,11.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5104.0,11.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5204.0,12.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5305.0,12.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5407.0,12.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5508.0,12.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5608.0,13.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5709.0,13.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5809.0,13.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
5912.0,13.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6012.0,14.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6113.0,14.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6213.0,14.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6314.0,14.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6416.0,15.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6517.0,15.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6617.0,15.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6718.0,15.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6818.0,16.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
6921.0,16.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7021.0,16.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7122.0,16.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7222.0,17.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7323.0,17.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7425.0,17.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7526.0,17.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7626.0,18.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7727.0,18.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7827.0,18.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
7930.0,18.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8030.0,19.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8131.0,19.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8231.0,19.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8332.0,19.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8434.0,20.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8535.0,20.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8635.0,20.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8736.0,20.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8836.0,21.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
8939.0,21.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9039.0,21.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9140.0,21.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9240.0,22.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9341.0,22.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9443.0,22.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9544.0,22.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9644.0,23.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9745.0,23.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9845.0,23.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
9948.0,23.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10048.0,24.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10149.0,24.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10249.0,24.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10350.0,24.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10452.0,25.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10553.0,25.439260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10653.0,25.689260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10754.0,25.939260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
10854.0,26.189260381577,HandoverShowcase.host2.wlan[0].mac.dcf.channelAccess.contention,backoffPeriodGenerated:vector
