time,value,module,metric
104.0,0.231276162993,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
202.0,0.481276162993,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
333.0,0.731276162993,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
357.0,0.731710709958,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
535.0,1.131276162993,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
635.0,1.381276162993,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
731.0,1.531276162993,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
768.0,1.53151468417,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
787.0,1.53220868417,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
824.0,1.532607205317,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
847.0,1.533061205317,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
884.0,1.533699726436,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12048.0,29.139224124138,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12157.0,29.389224124138,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12275.0,29.639224124138,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12386.0,29.889224124138,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12413.0,29.889519235125,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12602.0,30.289224124138,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12675.0,30.439224124138,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12726.0,30.439543201942,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12745.0,30.440197201942,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12782.0,30.440396279691,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12805.0,30.440670279691,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
12842.0,30.440889357411,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
36584.0,89.155718122063,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
36709.0,89.405718122063,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
36813.0,89.655718122063,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
36837.0,89.656393247192,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37027.0,90.055718122063,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37154.0,90.305718122063,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37226.0,90.455718122063,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37263.0,90.456237198869,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37282.0,90.456771198869,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37319.0,90.457090275618,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37342.0,90.457784275618,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
37379.0,90.458523352293,HandoverShowcase.host1.wlan[0].mac.dcf,datarateSelected:vector
