time,value,module,metric
0.0,0.0,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
0.0,0.0,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
104.0,0.231276162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
110.0,0.231314162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
202.0,0.481276162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
208.0,0.481314162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
333.0,0.731276162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
339.0,0.731314162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
535.0,1.131276162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
541.0,1.131314162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
635.0,1.381276162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
641.0,1.381314162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
731.0,1.531276162993,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
755.0,1.531362684173,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
787.0,1.53220868417,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
811.0,1.532295205322,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
847.0,1.533061205317,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
871.0,1.533147726444,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12048.0,29.139224124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12054.0,29.139262124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12157.0,29.389224124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12166.0,29.389262124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12275.0,29.639224124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12281.0,29.639262124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12386.0,29.889224124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12395.0,29.889262124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12602.0,30.289224124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12611.0,30.289262124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12675.0,30.439224124138,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12713.0,30.439311201948,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12745.0,30.440197201942,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12769.0,30.440284279694,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12805.0,30.440670279691,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
12829.0,30.440757357415,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
36584.0,89.155718122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
36590.0,89.155756122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
36709.0,89.405718122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
36718.0,89.405756122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
36813.0,89.655718122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
36819.0,89.655756122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37027.0,90.055718122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37033.0,90.055756122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37154.0,90.305718122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37163.0,90.305756122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37226.0,90.455718122063,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37250.0,90.455805198882,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37282.0,90.456771198869,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37306.0,90.456858275625,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37342.0,90.457784275618,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
37366.0,90.457871352313,HandoverShowcase.host1.wlan[0].mac.dcf,frameSequenceActive:vector
