time,value,module,metric
102.0,0.1,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
102.0,0.2,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
200.0,0.3,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
200.0,0.4,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
331.0,0.5,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
331.0,0.6,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
331.0,0.7,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
533.0,0.8,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
533.0,0.9,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
533.0,1.0,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
533.0,1.1,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
633.0,1.2,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
633.0,1.3,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
728.0,1.4,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
728.0,1.5,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,1.6,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,1.7,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,1.8,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,1.9,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.0,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.1,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.2,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.3,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.4,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.5,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.6,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.7,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
12046.0,2.8,HandoverShowcase.host1.wlan[0].mac.dcf.channelAccess.pendingQueue,incomingDataRate:vector
