time,value,module,metric
58.0,0.1,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
119.0,0.2,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
156.0,0.3,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
216.0,0.4,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
248.0,0.5,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
285.0,0.6,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
348.0,0.7,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
417.0,0.8,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
465.0,0.9,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
501.0,1.0,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
550.0,1.1,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
599.0,1.2,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
649.0,1.3,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
696.0,1.4,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
759.0,1.5,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
953.0,1.6,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
1001.0,1.7,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
1037.0,1.8,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
1085.0,1.9,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
1118.0,2.0,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
1154.0,2.1,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
1202.0,2.2,HandoverShowcase.ap1.wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingDataRate:vector
