time,value,module,metric
19.0,0.089177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
58.0,0.189177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
119.0,0.289177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
156.0,0.389177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
216.0,0.489177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
248.0,0.589177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
285.0,0.689177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
348.0,0.731664436479,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
380.0,0.789177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
417.0,0.889177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
465.0,0.989177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
501.0,1.089177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
550.0,1.189177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
599.0,1.289177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
649.0,1.389177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
696.0,1.489177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
745.0,1.531328423583,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
759.0,1.531472423583,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
801.0,1.532260944746,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
815.0,1.532564944746,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
861.0,1.533113465881,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
875.0,1.533657465881,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
917.0,1.589177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
953.0,1.689177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1001.0,1.789177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1037.0,1.889177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1085.0,1.989177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1118.0,2.089177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1154.0,2.189177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1202.0,2.289177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1238.0,2.389177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1286.0,2.489177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1319.0,2.589177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1357.0,2.689177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1405.0,2.789177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1441.0,2.889177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1489.0,2.989177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1522.0,3.089177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1558.0,3.189177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1606.0,3.289177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1642.0,3.389177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
1690.0,3.489177300176,HandoverShowcase.ap1.wlan[0].mac,packetSentToLower:vector(packetBytes)
