time,value,module,metric
354.0,0.731710436479,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
752.0,1.531362423583,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
765.0,1.531514423583,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
808.0,1.532294944746,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
821.0,1.532606944746,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
868.0,1.533147465881,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
881.0,1.533699465881,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
36834.0,89.656392684637,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
37247.0,90.455804660473,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
37260.0,90.456236660473,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
37303.0,90.456857737248,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
37316.0,90.457089737248,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
37363.0,90.457870813966,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
37376.0,90.458522813966,HandoverShowcase.ap1.wlan[0].mac.dcf,packetSentToPeerUnicast:vector(packetBytes)
