time,value,module,metric
0.0,0.0,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
54.0,0.131276162993,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
152.0,0.381276162993,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
281.0,0.631276162993,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
497.0,1.031276162993,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
595.0,1.281276162993,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
729.0,1.531276162993,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
830.0,1.532607205317,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12010.0,29.039224124138,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12119.0,29.289224124138,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12237.0,29.539224124138,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12346.0,29.789224124138,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12552.0,30.189224124138,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12673.0,30.439224124138,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
12788.0,30.440396279691,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
36546.0,89.055718122063,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
36671.0,89.305718122063,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
36773.0,89.555718122063,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
36992.0,89.955718122063,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
37119.0,90.205718122063,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
37224.0,90.455718122063,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
37325.0,90.457090275618,HandoverShowcase.host1.wlan[0].radio,radioChannel:vector
