time,value,module,metric
0.0,0.0,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
20.0,0.089177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
26.0,0.089223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
59.0,0.189177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
65.0,0.189223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
120.0,0.289177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
126.0,0.289223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
157.0,0.389177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
163.0,0.389223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
217.0,0.489177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
223.0,0.489223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
249.0,0.589177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
255.0,0.589223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
286.0,0.689177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
292.0,0.689223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
336.0,0.731276436479,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
341.0,0.731314436479,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
349.0,0.731664436479,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
355.0,0.731710436479,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
364.0,0.731720983436,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
370.0,0.731754983436,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
381.0,0.789177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
387.0,0.789223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
418.0,0.889177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
424.0,0.889223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
466.0,0.989177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
472.0,0.989223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
502.0,1.089177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
508.0,1.089223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
551.0,1.189177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
557.0,1.189223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
600.0,1.289177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
606.0,1.289223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
650.0,1.389177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
656.0,1.389223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
697.0,1.489177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
703.0,1.489223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
734.0,1.531276423583,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
739.0,1.531318423583,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
746.0,1.531328423583,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
753.0,1.531362423583,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
760.0,1.531472423583,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
766.0,1.531514423583,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
776.0,1.531524944757,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
782.0,1.531558944757,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
790.0,1.532208944746,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
795.0,1.532250944746,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
802.0,1.532260944746,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
809.0,1.532294944746,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
816.0,1.532564944746,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
822.0,1.532606944746,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
836.0,1.532617465887,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
842.0,1.532651465887,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
850.0,1.533061465881,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
855.0,1.533103465881,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
862.0,1.533113465881,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
869.0,1.533147465881,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
876.0,1.533657465881,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
882.0,1.533699465881,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
892.0,1.53370998699,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
898.0,1.53374398699,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
918.0,1.589177300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
924.0,1.589223300176,HandoverShowcase.ap1.wlan[0].radio,receptionState:vector
