time,value,module,metric
5.0,0.005671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
6.0,0.005671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
10.0,0.005717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
11.0,0.005717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
40.0,0.105671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
41.0,0.105671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
45.0,0.105717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
46.0,0.105717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
90.0,0.205671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
91.0,0.205671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
95.0,0.205717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
96.0,0.205717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
136.0,0.305671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
137.0,0.305671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
141.0,0.305717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
142.0,0.305717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
173.0,0.405671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
174.0,0.405671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
178.0,0.405717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
179.0,0.405717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
234.0,0.505671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
235.0,0.505671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
239.0,0.505717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
240.0,0.505717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
268.0,0.605671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
269.0,0.605671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
273.0,0.605717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
274.0,0.605717297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
319.0,0.705671297573,HandoverShowcase.ap2.wlan[0].radio,transmissionState:vector
