time	V(bpsksignal)	V(carriersignal)	V(demodedsignal)	V(injectedcarrier)	V(modulatingsignal)
0.000000000000000e+00	-1.243136e+00	0.000000e+00	-5.070463e+00	0.000000e+00	-5.000000e+00
9.999999717180685e-10	-1.243136e+00	3.141593e-04	-5.070463e+00	3.141593e-04	-5.000000e+00
1.999999943436137e-09	-1.243136e+00	6.283185e-04	-5.070463e+00	6.283185e-04	-5.000000e+00
3.999999886872274e-09	-1.243136e+00	1.256637e-03	-5.070463e+00	1.256637e-03	-5.000000e+00
7.999999773744548e-09	-1.243135e+00	2.513274e-03	-5.070463e+00	2.513274e-03	-5.000000e+00
1.599999954748910e-08	-1.243133e+00	5.026547e-03	-5.070463e+00	5.026547e-03	-5.000000e+00
3.199999909497819e-08	-1.243129e+00	1.005309e-02	-5.070463e+00	1.005309e-02	-5.000000e+00
5.480872034555013e-08	-1.243113e+00	1.721863e-02	-5.070463e+00	1.721863e-02	-5.000000e+00
8.465625180483567e-08	-1.243052e+00	2.659542e-02	-5.070463e+00	2.659542e-02	-5.000000e+00
1.219149146591951e-07	-1.242850e+00	3.830032e-02	-5.070463e+00	3.830032e-02	-5.000000e+00
1.801889052235166e-07	-1.242058e+00	5.660680e-02	-5.070463e+00	5.660680e-02	-5.000000e+00
2.424425015761892e-07	-1.240312e+00	7.616261e-02	-5.070463e+00	7.616261e-02	-5.000000e+00
3.278650347277647e-07	-1.236012e+00	1.029946e-01	-5.070463e+00	1.029946e-01	-5.000000e+00
4.278035708975064e-07	-1.228021e+00	1.343823e-01	-5.070463e+00	1.343823e-01	-5.000000e+00
5.757544086818272e-07	-1.211075e+00	1.808391e-01	-5.070463e+00	1.808391e-01	-5.000000e+00
7.125001205370047e-07	-1.191397e+00	2.237637e-01	-5.070463e+00	2.237637e-01	-5.000000e+00
8.429027910747445e-07	-1.170559e+00	2.646819e-01	-5.070463e+00	2.646819e-01	-5.000000e+00
9.693343513512016e-07	-1.149490e+00	3.043371e-01	-5.070463e+00	3.043371e-01	-5.000000e+00
1.089366980647883e-06	-1.129358e+00	3.419676e-01	-5.070463e+00	3.419676e-01	-5.000000e+00
1.217625759367511e-06	-1.108201e+00	3.821554e-01	-5.070463e+00	3.821554e-01	-5.000000e+00
1.378898592440783e-06	-1.082634e+00	4.326520e-01	-5.070463e+00	4.326520e-01	-5.000000e+00
1.511513270640086e-06	-1.062703e+00	4.741424e-01	-5.070463e+00	4.741424e-01	-5.000000e+00
1.644574163374467e-06	-1.043758e+00	5.157393e-01	-5.070463e+00	5.157393e-01	-5.000000e+00
1.799147684973380e-06	-1.022917e+00	5.640159e-01	-5.070463e+00	5.640159e-01	-5.000000e+00
1.962949360255104e-06	-1.001825e+00	6.151165e-01	-5.070463e+00	6.151165e-01	-5.000000e+00
2.146834279070468e-06	-9.787413e-01	6.724045e-01	-5.070463e+00	6.724045e-01	-5.000000e+00
2.366642331178680e-06	-9.511304e-01	7.407656e-01	-5.070463e+00	7.407656e-01	-5.000000e+00
2.663277703604033e-06	-9.129118e-01	8.327940e-01	-5.070463e+00	8.327940e-01	-5.000000e+00
2.900329759373898e-06	-8.814692e-01	9.061307e-01	-5.070463e+00	9.061307e-01	-5.000000e+00
3.144914397642900e-06	-8.485330e-01	9.815869e-01	-5.070463e+00	9.815869e-01	-5.000000e+00
3.416048357972061e-06	-8.119760e-01	1.064962e+00	-5.070463e+00	1.064962e+00	-5.000000e+00
3.788134600171762e-06	-7.623886e-01	1.178873e+00	-5.070463e+00	1.178873e+00	-5.000000e+00
4.106659314929783e-06	-7.205964e-01	1.275877e+00	-5.070463e+00	1.275877e+00	-5.000000e+00
4.519275274524158e-06	-6.670362e-01	1.400770e+00	-5.070463e+00	1.400770e+00	-5.000000e+00
4.955099110402573e-06	-6.107751e-01	1.531663e+00	-5.070463e+00	1.531663e+00	-5.000000e+00
5.541364402098108e-06	-5.355304e-01	1.705911e+00	-5.070463e+00	1.705911e+00	-5.000000e+00
6.239868080577765e-06	-4.470874e-01	1.910476e+00	-5.070463e+00	1.910476e+00	-5.000000e+00
7.074850536075314e-06	-3.435839e-01	2.150150e+00	-5.070463e+00	2.150150e+00	-5.000000e+00
8.405104121902433e-06	-1.838853e-01	2.519501e+00	-5.070463e+00	2.519501e+00	-5.000000e+00
9.757937918820675e-06	-2.895512e-02	2.877066e+00	-5.070463e+00	2.877066e+00	-5.000000e+00
1.201096147977978e-05	2.088218e-01	3.425245e+00	-5.070463e+00	3.425245e+00	-5.000000e+00
1.585548655055722e-05	5.450993e-01	4.197139e+00	-5.070463e+00	4.197139e+00	-5.000000e+00
1.969345635474651e-05	7.770300e-01	4.724643e+00	-5.070463e+00	4.724643e+00	-5.000000e+00
2.446622199565249e-05	9.009531e-01	4.997188e+00	-5.070463e+00	4.997188e+00	-5.000000e+00
2.630154173671320e-05	8.978758e-01	4.983290e+00	-5.070463e+00	4.983290e+00	-5.000000e+00
2.861841332059016e-05	8.531113e-01	4.871334e+00	-5.070463e+00	4.871334e+00	-5.000000e+00
3.237239414758045e-05	6.878401e-01	4.473089e+00	-5.070463e+00	4.473089e+00	-5.000000e+00
3.587175139433146e-05	4.371563e-01	3.878123e+00	-5.070463e+00	3.878123e+00	-5.000000e+00
4.013470531911734e-05	2.472286e-02	2.904585e+00	-5.070463e+00	2.904585e+00	-5.000000e+00
4.526331848996996e-05	-5.882496e-01	1.466202e+00	-5.070463e+00	1.466202e+00	-5.000000e+00
5.000320396014555e-05	-1.216730e+00	-1.006554e-03	-5.070463e+00	-1.006554e-03	-5.000000e+00
5.787126150590980e-05	-2.238230e+00	-2.373248e+00	-5.070463e+00	-2.373248e+00	-5.000000e+00
6.672680426467611e-05	-3.093353e+00	-4.339542e+00	-5.070463e+00	-4.339542e+00	-5.000000e+00
7.223705638410323e-05	-3.350753e+00	-4.924846e+00	-5.070463e+00	-4.924846e+00	-5.000000e+00
7.546435842957071e-05	-3.386528e+00	-4.997872e+00	-5.070463e+00	-4.997872e+00	-5.000000e+00
7.725608204248226e-05	-3.368596e+00	-4.949849e+00	-5.070463e+00	-4.949849e+00	-5.000000e+00
7.979658130632177e-05	-3.297725e+00	-4.774642e+00	-5.070463e+00	-4.774642e+00	-5.000000e+00
8.237669573486208e-05	-3.172578e+00	-4.472485e+00	-5.070463e+00	-4.472485e+00	-5.000000e+00
8.513825744996796e-05	-2.982507e+00	-4.019403e+00	-5.070463e+00	-4.019403e+00	-5.000000e+00
9.002175092488974e-05	-2.523275e+00	-2.933395e+00	-5.070463e+00	-2.933395e+00	-5.000000e+00
9.608213073128622e-05	-1.792180e+00	-1.218441e+00	-5.070463e+00	-1.218441e+00	-5.000000e+00
1.020930445104227e-04	-9.884400e-01	6.556556e-01	-5.070463e+00	6.556556e-01	-5.000000e+00
1.085090305295553e-04	-1.720417e-01	2.547649e+00	-5.070463e+00	2.547649e+00	-5.000000e+00
1.150370356814111e-04	4.815676e-01	4.051913e+00	-5.070463e+00	4.051913e+00	-5.000000e+00
1.212196340900372e-04	8.371085e-01	4.859614e+00	-5.070463e+00	4.859614e+00	-5.000000e+00
1.250726357651578e-04	9.031745e-01	4.999948e+00	-5.070463e+00	4.999948e+00	-5.000000e+00
1.266182740039685e-04	8.942772e-01	4.974175e+00	-5.070463e+00	4.974175e+00	-5.000000e+00
1.291333144118461e-04	8.372744e-01	4.832330e+00	-5.070463e+00	4.832330e+00	-5.000000e+00
1.332012574078841e-04	6.363974e-01	4.350724e+00	-5.070463e+00	4.350724e+00	-5.000000e+00
1.373599820714349e-04	3.054597e-01	3.566501e+00	-5.070463e+00	3.566501e+00	-5.000000e+00
